Entity,Code,Year,Tonnes
Africa,,1961,1131882
Africa,,1962,1111006
Africa,,1963,1145004
Africa,,1964,1160831
Africa,,1965,1138860
Africa,,1966,1151649
Africa,,1967,1100007
Africa,,1968,1154021
Africa,,1969,1195096
Africa,,1970,1077079
Africa,,1971,1076657
Africa,,1972,1038590
Africa,,1973,1011109
Africa,,1974,1122520
Africa,,1975,1176662
Africa,,1976,1168855
Africa,,1977,1141017
Africa,,1978,1174500
Africa,,1979,1278750
Africa,,1980,1357485
Africa,,1981,1176404
Africa,,1982,1162085
Africa,,1983,1147074
Africa,,1984,1182465
Africa,,1985,1333142
Africa,,1986,1406384
Africa,,1987,1487413
Africa,,1988,1468895
Africa,,1989,1534097
Africa,,1990,1643970
Africa,,1991,1662840
Africa,,1992,1714994
Africa,,1993,1749635
Africa,,1994,1760798
Africa,,1995,1801442
Africa,,1996,1765675
Africa,,1997,1721979
Africa,,1998,1787243
Africa,,1999,1846036
Africa,,2000,1851278
Africa,,2001,1815191
Africa,,2002,1922560
Africa,,2003,1967385
Africa,,2004,2137888
Africa,,2005,2186830
Africa,,2006,2381318
Africa,,2007,2437198
Africa,,2008,2486803
Africa,,2009,2460151
Africa,,2010,2302846
Africa,,2011,2389695
Africa,,2012,2101113
Africa,,2013,2042718
Africa,,2014,2102140
Africa,,2015,2162566
Africa,,2016,2385298
Africa,,2017,2482898
Africa,,2018,2537168
Americas,,1961,65393
Americas,,1962,74184
Americas,,1963,74995
Americas,,1964,81208
Americas,,1965,89162
Americas,,1966,89119
Americas,,1967,102403
Americas,,1968,115925
Americas,,1969,104379
Americas,,1970,97164
Americas,,1971,119477
Americas,,1972,122382
Americas,,1973,127638
Americas,,1974,118170
Americas,,1975,106915
Americas,,1976,115457
Americas,,1977,136379
Americas,,1978,153227
Americas,,1979,176150
Americas,,1980,190495
Americas,,1981,222245
Americas,,1982,255362
Americas,,1983,292105
Americas,,1984,338030
Americas,,1985,368172
Americas,,1986,446911
Americas,,1987,475300
Americas,,1988,541058
Americas,,1989,634417
Americas,,1990,679697
Americas,,1991,744365
Americas,,1992,754066
Americas,,1993,807616
Americas,,1994,908789
Americas,,1995,947410
Americas,,1996,1004812
Americas,,1997,1121090
Americas,,1998,1154798
Americas,,1999,1155717
Americas,,2000,1305289
Americas,,2001,1390905
Americas,,2002,1402537
Americas,,2003,1397610
Americas,,2004,1620122
Americas,,2005,1806635
Americas,,2006,1942117
Americas,,2007,2070831
Americas,,2008,2237117
Americas,,2009,2311617
Americas,,2010,2393763
Americas,,2011,2483736
Americas,,2012,2834208
Americas,,2013,3303376
Americas,,2014,3428810
Americas,,2015,3759434
Americas,,2016,4118844
Americas,,2017,4733970
Americas,,2018,4892254
Angola,AGO,1961,40000
Angola,AGO,1962,41000
Angola,AGO,1963,36000
Angola,AGO,1964,41000
Angola,AGO,1965,32000
Angola,AGO,1966,35000
Angola,AGO,1967,35000
Angola,AGO,1968,38000
Angola,AGO,1969,45000
Angola,AGO,1970,38000
Angola,AGO,1971,38000
Angola,AGO,1972,38000
Angola,AGO,1973,40000
Angola,AGO,1974,40000
Angola,AGO,1975,40000
Angola,AGO,1976,35000
Angola,AGO,1977,30000
Angola,AGO,1978,35000
Angola,AGO,1979,40000
Angola,AGO,1980,40000
Angola,AGO,1981,38000
Angola,AGO,1982,38000
Angola,AGO,1983,40000
Angola,AGO,1984,38000
Angola,AGO,1985,36000
Angola,AGO,1986,38000
Angola,AGO,1987,40000
Angola,AGO,1988,42000
Angola,AGO,1989,42000
Angola,AGO,1990,40000
Angola,AGO,1991,40000
Angola,AGO,1992,40000
Angola,AGO,1993,40000
Angola,AGO,1994,40000
Angola,AGO,1995,40000
Angola,AGO,1996,48000
Angola,AGO,1997,50000
Angola,AGO,1998,51000
Angola,AGO,1999,49000
Angola,AGO,2000,49000
Angola,AGO,2001,49000
Angola,AGO,2002,50000
Angola,AGO,2003,49000
Angola,AGO,2004,51000
Angola,AGO,2005,53000
Angola,AGO,2006,54000
Angola,AGO,2007,55000
Angola,AGO,2008,46000
Angola,AGO,2009,55000
Angola,AGO,2010,57000
Angola,AGO,2011,50000
Angola,AGO,2012,48000
Angola,AGO,2013,46000
Angola,AGO,2014,42000
Angola,AGO,2015,45000
Angola,AGO,2016,48000
Angola,AGO,2017,51000
Angola,AGO,2018,53000
Asia,,1961,281426
Asia,,1962,290551
Asia,,1963,314871
Asia,,1964,327793
Asia,,1965,347991
Asia,,1966,425237
Asia,,1967,466607
Asia,,1968,553578
Asia,,1969,642596
Asia,,1970,762696
Asia,,1971,961696
Asia,,1972,1142144
Asia,,1973,1263141
Asia,,1974,1558501
Asia,,1975,1825076
Asia,,1976,2003071
Asia,,1977,2247354
Asia,,1978,2471909
Asia,,1979,3025539
Asia,,1980,3485745
Asia,,1981,3829117
Asia,,1982,4657262
Asia,,1983,4264020
Asia,,1984,5161346
Asia,,1985,5740893
Asia,,1986,6275978
Asia,,1987,6431015
Asia,,1988,7157831
Asia,,1989,8465455
Asia,,1990,8958334
Asia,,1991,9269481
Asia,,1992,10155710
Asia,,1993,11344078
Asia,,1994,11795038
Asia,,1995,12934038
Asia,,1996,13938548
Asia,,1997,15158984
Asia,,1998,14951900
Asia,,1999,17393218
Asia,,2000,18688602
Asia,,2001,21252650
Asia,,2002,22449550
Asia,,2003,24941438
Asia,,2004,25912409
Asia,,2005,27916242
Asia,,2006,34683760
Asia,,2007,34835558
Asia,,2008,37124991
Asia,,2009,38596834
Asia,,2010,40556346
Asia,,2011,44864493
Asia,,2012,46922549
Asia,,2013,49336463
Asia,,2014,51168205
Asia,,2015,53241554
Asia,,2016,50992304
Asia,,2017,57849138
Asia,,2018,63258321
"Asia, Central",,2015,322
"Asia, Central",,2016,5502
"Asia, Central",,2017,6055
"Asia, Central",,2018,5691
Belgium,BEL,2015,97880
Belgium,BEL,2016,96444
Belgium,BEL,2017,106148
Belgium,BEL,2018,100000
Benin,BEN,1961,24600
Benin,BEN,1962,23200
Benin,BEN,1963,24800
Benin,BEN,1964,27000
Benin,BEN,1965,27000
Benin,BEN,1966,27000
Benin,BEN,1967,24700
Benin,BEN,1968,27200
Benin,BEN,1969,31300
Benin,BEN,1970,31957
Benin,BEN,1971,19990
Benin,BEN,1972,15396
Benin,BEN,1973,15636
Benin,BEN,1974,25796
Benin,BEN,1975,38500
Benin,BEN,1976,47000
Benin,BEN,1977,33000
Benin,BEN,1978,25000
Benin,BEN,1979,25000
Benin,BEN,1980,34000
Benin,BEN,1981,30000
Benin,BEN,1982,31000
Benin,BEN,1983,35000
Benin,BEN,1984,35000
Benin,BEN,1985,33000
Benin,BEN,1986,25000
Benin,BEN,1987,25000
Benin,BEN,1988,25000
Benin,BEN,1989,20000
Benin,BEN,1990,21854
Benin,BEN,1991,14000
Benin,BEN,1992,13700
Benin,BEN,1993,14000
Benin,BEN,1994,9432
Benin,BEN,1995,12500
Benin,BEN,1996,15000
Benin,BEN,1997,8841
Benin,BEN,1998,14800
Benin,BEN,1999,15000
Benin,BEN,2000,36000
Benin,BEN,2001,36000
Benin,BEN,2002,32000
Benin,BEN,2003,32000
Benin,BEN,2004,33500
Benin,BEN,2005,36000
Benin,BEN,2006,38000
Benin,BEN,2007,40000
Benin,BEN,2008,42000
Benin,BEN,2009,44000
Benin,BEN,2010,46000
Benin,BEN,2011,46000
Benin,BEN,2012,53000
Benin,BEN,2013,56000
Benin,BEN,2014,64000
Benin,BEN,2015,60000
Benin,BEN,2016,65000
Benin,BEN,2017,70000
Benin,BEN,2018,75000
Brazil,BRA,1961,3993
Brazil,BRA,1962,5126
Brazil,BRA,1963,5340
Brazil,BRA,1964,6429
Brazil,BRA,1965,8491
Brazil,BRA,1966,10980
Brazil,BRA,1967,9795
Brazil,BRA,1968,10191
Brazil,BRA,1969,11619
Brazil,BRA,1970,4678
Brazil,BRA,1971,5200
Brazil,BRA,1972,5500
Brazil,BRA,1973,6000
Brazil,BRA,1974,6500
Brazil,BRA,1975,7000
Brazil,BRA,1976,9000
Brazil,BRA,1977,12000
Brazil,BRA,1978,15000
Brazil,BRA,1979,16000
Brazil,BRA,1980,12000
Brazil,BRA,1981,14000
Brazil,BRA,1982,16000
Brazil,BRA,1983,18000
Brazil,BRA,1984,23000
Brazil,BRA,1985,29000
Brazil,BRA,1986,31000
Brazil,BRA,1987,39000
Brazil,BRA,1988,46000
Brazil,BRA,1989,53700
Brazil,BRA,1990,65600
Brazil,BRA,1991,69900
Brazil,BRA,1992,60000
Brazil,BRA,1993,53800
Brazil,BRA,1994,70800
Brazil,BRA,1995,75500
Brazil,BRA,1996,79500
Brazil,BRA,1997,80400
Brazil,BRA,1998,88600
Brazil,BRA,1999,92000
Brazil,BRA,2000,108000
Brazil,BRA,2001,110000
Brazil,BRA,2002,118000
Brazil,BRA,2003,129000
Brazil,BRA,2004,142000
Brazil,BRA,2005,160000
Brazil,BRA,2006,170000
Brazil,BRA,2007,190000
Brazil,BRA,2008,210000
Brazil,BRA,2009,240000
Brazil,BRA,2010,250000
Brazil,BRA,2011,270000
Brazil,BRA,2012,310000
Brazil,BRA,2013,340000
Brazil,BRA,2014,365000
Brazil,BRA,2015,400000
Brazil,BRA,2016,415000
Brazil,BRA,2017,443000
Brazil,BRA,2018,450000
Burundi,BDI,1961,1000
Burundi,BDI,1962,1000
Burundi,BDI,1963,1000
Burundi,BDI,1964,1000
Burundi,BDI,1965,1000
Burundi,BDI,1966,1000
Burundi,BDI,1967,1000
Burundi,BDI,1968,1340
Burundi,BDI,1969,1670
Burundi,BDI,1970,1740
Burundi,BDI,1971,1780
Burundi,BDI,1972,1600
Burundi,BDI,1973,1690
Burundi,BDI,1974,1360
Burundi,BDI,1975,1620
Burundi,BDI,1976,1620
Burundi,BDI,1977,1700
Burundi,BDI,1978,2200
Burundi,BDI,1979,1750
Burundi,BDI,1980,1800
Burundi,BDI,1981,1800
Burundi,BDI,1982,1800
Burundi,BDI,1983,1800
Burundi,BDI,1984,1800
Burundi,BDI,1985,1800
Burundi,BDI,1986,1800
Burundi,BDI,1987,1850
Burundi,BDI,1988,1930
Burundi,BDI,1989,1401
Burundi,BDI,1990,1931
Burundi,BDI,1991,1958
Burundi,BDI,1992,2012
Burundi,BDI,1993,1960
Burundi,BDI,1994,1755
Burundi,BDI,1995,1890
Burundi,BDI,1996,1960
Burundi,BDI,1997,2030
Burundi,BDI,1998,1960
Burundi,BDI,1999,1890
Burundi,BDI,2000,1760
Burundi,BDI,2001,1260
Burundi,BDI,2002,1490
Burundi,BDI,2003,2000
Burundi,BDI,2004,2700
Burundi,BDI,2005,4500
Burundi,BDI,2006,7500
Burundi,BDI,2007,11500
Burundi,BDI,2008,12977
Burundi,BDI,2009,12217
Burundi,BDI,2010,11418
Burundi,BDI,2011,9689
Burundi,BDI,2012,9923
Burundi,BDI,2013,15778
Burundi,BDI,2014,18468
Burundi,BDI,2015,16571
Burundi,BDI,2016,19216
Burundi,BDI,2017,17175
Burundi,BDI,2018,17200
Cambodia,KHM,2012,19000
Cambodia,KHM,2013,32000
Cambodia,KHM,2014,31385
Cambodia,KHM,2015,31087
Cambodia,KHM,2016,31087
Cambodia,KHM,2017,33993
Cambodia,KHM,2018,32000
Cameroon,CMR,1961,37200
Cameroon,CMR,1962,37000
Cameroon,CMR,1963,51400
Cameroon,CMR,1964,52600
Cameroon,CMR,1965,60750
Cameroon,CMR,1966,46000
Cameroon,CMR,1967,62500
Cameroon,CMR,1968,64170
Cameroon,CMR,1969,58000
Cameroon,CMR,1970,64500
Cameroon,CMR,1971,63700
Cameroon,CMR,1972,64600
Cameroon,CMR,1973,69300
Cameroon,CMR,1974,72200
Cameroon,CMR,1975,79900
Cameroon,CMR,1976,62500
Cameroon,CMR,1977,62600
Cameroon,CMR,1978,80000
Cameroon,CMR,1979,75000
Cameroon,CMR,1980,85000
Cameroon,CMR,1981,70744
Cameroon,CMR,1982,72485
Cameroon,CMR,1983,64586
Cameroon,CMR,1984,79012
Cameroon,CMR,1985,102598
Cameroon,CMR,1986,103960
Cameroon,CMR,1987,98000
Cameroon,CMR,1988,100000
Cameroon,CMR,1989,148330
Cameroon,CMR,1990,157708
Cameroon,CMR,1991,130000
Cameroon,CMR,1992,120000
Cameroon,CMR,1993,123000
Cameroon,CMR,1994,125000
Cameroon,CMR,1995,125000
Cameroon,CMR,1996,160708
Cameroon,CMR,1997,135000
Cameroon,CMR,1998,139000
Cameroon,CMR,1999,131979
Cameroon,CMR,2000,136277
Cameroon,CMR,2001,138476
Cameroon,CMR,2002,153121
Cameroon,CMR,2003,162308
Cameroon,CMR,2004,172047
Cameroon,CMR,2005,198325
Cameroon,CMR,2006,205318
Cameroon,CMR,2007,215462
Cameroon,CMR,2008,225606
Cameroon,CMR,2009,238000
Cameroon,CMR,2010,326940
Cameroon,CMR,2011,354076
Cameroon,CMR,2012,240000
Cameroon,CMR,2013,249000
Cameroon,CMR,2014,253000
Cameroon,CMR,2015,260000
Cameroon,CMR,2016,250000
Cameroon,CMR,2017,265000
Cameroon,CMR,2018,269000
Caribbean,,1989,2600
Caribbean,,1990,8800
Caribbean,,1991,13200
Caribbean,,1992,16300
Caribbean,,1993,20000
Caribbean,,1994,23000
Caribbean,,1995,24000
Caribbean,,1996,25000
Caribbean,,1997,25000
Caribbean,,1998,25000
Caribbean,,1999,23500
Caribbean,,2000,26000
Caribbean,,2001,26000
Caribbean,,2002,25200
Caribbean,,2003,27000
Caribbean,,2004,27600
Caribbean,,2005,29000
Caribbean,,2006,31000
Caribbean,,2007,32000
Caribbean,,2008,35000
Caribbean,,2009,38000
Caribbean,,2010,41000
Caribbean,,2011,44000
Caribbean,,2012,45000
Caribbean,,2013,46000
Caribbean,,2014,47000
Caribbean,,2015,50000
Caribbean,,2016,52000
Caribbean,,2017,52000
Caribbean,,2018,53000
Central African Republic,CAF,1961,1190
Central African Republic,CAF,1962,1250
Central African Republic,CAF,1963,1100
Central African Republic,CAF,1964,1450
Central African Republic,CAF,1965,1600
Central African Republic,CAF,1966,2400
Central African Republic,CAF,1967,2400
Central African Republic,CAF,1968,2400
Central African Republic,CAF,1969,3600
Central African Republic,CAF,1970,3600
Central African Republic,CAF,1971,3600
Central African Republic,CAF,1972,5600
Central African Republic,CAF,1973,5600
Central African Republic,CAF,1974,5600
Central African Republic,CAF,1975,7000
Central African Republic,CAF,1976,7000
Central African Republic,CAF,1977,6300
Central African Republic,CAF,1978,5600
Central African Republic,CAF,1979,4900
Central African Republic,CAF,1980,4900
Central African Republic,CAF,1981,5600
Central African Republic,CAF,1982,5600
Central African Republic,CAF,1983,6000
Central African Republic,CAF,1984,6000
Central African Republic,CAF,1985,6400
Central African Republic,CAF,1986,6400
Central African Republic,CAF,1987,7200
Central African Republic,CAF,1988,7200
Central African Republic,CAF,1989,7200
Central African Republic,CAF,1990,7733
Central African Republic,CAF,1991,6300
Central African Republic,CAF,1992,5948
Central African Republic,CAF,1993,6600
Central African Republic,CAF,1994,6665
Central African Republic,CAF,1995,6730
Central African Republic,CAF,1996,2585
Central African Republic,CAF,1997,3403
Central African Republic,CAF,1998,2066
Central African Republic,CAF,1999,2966
Central African Republic,CAF,2000,2183
Central African Republic,CAF,2001,1886
Central African Republic,CAF,2002,1800
Central African Republic,CAF,2003,1700
Central African Republic,CAF,2004,1762
Central African Republic,CAF,2005,1818
Central African Republic,CAF,2006,1800
Central African Republic,CAF,2007,1400
Central African Republic,CAF,2008,1100
Central African Republic,CAF,2009,700
Central African Republic,CAF,2010,360
Central African Republic,CAF,2011,380
Central African Republic,CAF,2012,420
Central African Republic,CAF,2013,440
Central African Republic,CAF,2014,400
Central African Republic,CAF,2015,414
Central African Republic,CAF,2016,447
Central African Republic,CAF,2017,431
Central African Republic,CAF,2018,420
Central America,,1961,27200
Central America,,1962,31508
Central America,,1963,30855
Central America,,1964,32650
Central America,,1965,33450
Central America,,1966,33795
Central America,,1967,32320
Central America,,1968,36700
Central America,,1969,33725
Central America,,1970,31610
Central America,,1971,32875
Central America,,1972,31847
Central America,,1973,43576
Central America,,1974,43315
Central America,,1975,41400
Central America,,1976,45650
Central America,,1977,41100
Central America,,1978,49950
Central America,,1979,53170
Central America,,1980,53180
Central America,,1981,66300
Central America,,1982,76400
Central America,,1983,85738
Central America,,1984,102229
Central America,,1985,104864
Central America,,1986,129061
Central America,,1987,134296
Central America,,1988,140296
Central America,,1989,157328
Central America,,1990,167358
Central America,,1991,173048
Central America,,1992,176374
Central America,,1993,192558
Central America,,1994,198057
Central America,,1995,206017
Central America,,1996,223089
Central America,,1997,242500
Central America,,1998,267936
Central America,,1999,278572
Central America,,2000,331451
Central America,,2001,391968
Central America,,2002,384900
Central America,,2003,421960
Central America,,2004,465100
Central America,,2005,560100
Central America,,2006,637700
Central America,,2007,666056
Central America,,2008,745854
Central America,,2009,758010
Central America,,2010,854952
Central America,,2011,958925
Central America,,2012,1058191
Central America,,2013,1244746
Central America,,2014,1275426
Central America,,2015,1343945
Central America,,2016,1749794
Central America,,2017,1868158
Central America,,2018,1998094
China,CHN,1961,40000
China,CHN,1962,40000
China,CHN,1963,40000
China,CHN,1964,40000
China,CHN,1965,40000
China,CHN,1966,60000
China,CHN,1967,72000
China,CHN,1968,88000
China,CHN,1969,100000
China,CHN,1970,112000
China,CHN,1971,128000
China,CHN,1972,148000
China,CHN,1973,152000
China,CHN,1974,156000
China,CHN,1975,156000
China,CHN,1976,164000
China,CHN,1977,160000
China,CHN,1978,168000
China,CHN,1979,172000
China,CHN,1980,160000
China,CHN,1981,164000
China,CHN,1982,180000
China,CHN,1983,188000
China,CHN,1984,184000
China,CHN,1985,240000
China,CHN,1986,240000
China,CHN,1987,223000
China,CHN,1988,213000
China,CHN,1989,203000
China,CHN,1990,180000
China,CHN,1991,184628
China,CHN,1992,192000
China,CHN,1993,200000
China,CHN,1994,211948
China,CHN,1995,220822
China,CHN,1996,202000
China,CHN,1997,205000
China,CHN,1998,207000
China,CHN,1999,210000
China,CHN,2000,213000
China,CHN,2001,217000
China,CHN,2002,220000
China,CHN,2003,223000
China,CHN,2004,225000
China,CHN,2005,248020
China,CHN,2006,217000
China,CHN,2007,221000
China,CHN,2008,225000
China,CHN,2009,230000
China,CHN,2010,225000
China,CHN,2011,220000
China,CHN,2012,225000
China,CHN,2013,230000
China,CHN,2014,232615
China,CHN,2015,230649
China,CHN,2016,230252
China,CHN,2017,230468
China,CHN,2018,230500
Colombia,COL,1961,1700
Colombia,COL,1962,1950
Colombia,COL,1963,2100
Colombia,COL,1964,2200
Colombia,COL,1965,2200
Colombia,COL,1966,2800
Colombia,COL,1967,11100
Colombia,COL,1968,13400
Colombia,COL,1969,17700
Colombia,COL,1970,26900
Colombia,COL,1971,36200
Colombia,COL,1972,41400
Colombia,COL,1973,44000
Colombia,COL,1974,50800
Colombia,COL,1975,39200
Colombia,COL,1976,38940
Colombia,COL,1977,48100
Colombia,COL,1978,48800
Colombia,COL,1979,61800
Colombia,COL,1980,69800
Colombia,COL,1981,79900
Colombia,COL,1982,85200
Colombia,COL,1983,101900
Colombia,COL,1984,118628
Colombia,COL,1985,125250
Colombia,COL,1986,140000
Colombia,COL,1987,147000
Colombia,COL,1988,198725
Colombia,COL,1989,224000
Colombia,COL,1990,251961
Colombia,COL,1991,290856
Colombia,COL,1992,290470
Colombia,COL,1993,314680
Colombia,COL,1994,353163
Colombia,COL,1995,387646
Colombia,COL,1996,409620
Colombia,COL,1997,440796
Colombia,COL,1998,424198
Colombia,COL,1999,499635
Colombia,COL,2000,524001
Colombia,COL,2001,547571
Colombia,COL,2002,528400
Colombia,COL,2003,526634
Colombia,COL,2004,630400
Colombia,COL,2005,672576
Colombia,COL,2006,711000
Colombia,COL,2007,780000
Colombia,COL,2008,777800
Colombia,COL,2009,804838
Colombia,COL,2010,753039
Colombia,COL,2011,804838
Colombia,COL,2012,973039
Colombia,COL,2013,1040835
Colombia,COL,2014,1109586
Colombia,COL,2015,1275000
Colombia,COL,2016,1146000
Colombia,COL,2017,1627552
Colombia,COL,2018,1630000
Congo,COG,1961,6592
Congo,COG,1962,7100
Congo,COG,1963,8750
Congo,COG,1964,9000
Congo,COG,1965,10000
Congo,COG,1966,11000
Congo,COG,1967,12000
Congo,COG,1968,13700
Congo,COG,1969,14000
Congo,COG,1970,14000
Congo,COG,1971,14000
Congo,COG,1972,14000
Congo,COG,1973,14000
Congo,COG,1974,14000
Congo,COG,1975,14000
Congo,COG,1976,14000
Congo,COG,1977,15000
Congo,COG,1978,15000
Congo,COG,1979,15000
Congo,COG,1980,15000
Congo,COG,1981,15000
Congo,COG,1982,15000
Congo,COG,1983,15300
Congo,COG,1984,15300
Congo,COG,1985,15300
Congo,COG,1986,15600
Congo,COG,1987,15700
Congo,COG,1988,16000
Congo,COG,1989,16500
Congo,COG,1990,17722
Congo,COG,1991,16000
Congo,COG,1992,15000
Congo,COG,1993,15400
Congo,COG,1994,16000
Congo,COG,1995,16100
Congo,COG,1996,16700
Congo,COG,1997,15700
Congo,COG,1998,16100
Congo,COG,1999,16700
Congo,COG,2000,16891
Congo,COG,2001,16962
Congo,COG,2002,18900
Congo,COG,2003,15000
Congo,COG,2004,18000
Congo,COG,2005,19000
Congo,COG,2006,24500
